system	file here	what the bytes are (No-Intro)	name on the server	server name is right
nes	nes/Marvel's X-Men (U).nes	Uncanny X-Men, The (USA)	Uncanny X-Men, The (USA)	yes
nes	nes/Race America (USA).nes	Alex DeMeo's Race America (USA)	Race America (USA)	
nes	nes/T&C 2 - Thrilla's Surfari (U).nes	Town & Country Surf Designs - Thrilla's Surfari (USA)	T&C 2 - Thrilla's Surfari (U)	
nes	nes/T&C Surf Design (U).nes	Town & Country Surf Designs - Wood & Water Rage (USA)	Town & Country Surf Designs - Wood & Water Rage (USA)	yes
nes	nes/Wizardry - The Knight of Diamonds (U).nes	Wizardry - Knight of Diamonds - The Second Scenario (USA)	Wizardry - The Knight of Diamonds (U)	
pcengine	pcengine/Busou Keiji - Cyber Cross (Japan).pce	Cyber Cross (Japan)	Cyber Cross (Japan)	yes
pcengine	pcengine/Formation Armed F (Japan).pce	Armed F (Japan) (En)	Armed F (Japan) (En)	yes
pcengine	pcengine/Necromancer (Japan).pce	Jaseiken Necromancer (Japan)	Jaseiken Necromancer (Japan)	yes
pcengine	pcengine/Niko Niko Pun (Japan).pce	Okaasan to Issho - Niko Niko Pun (Japan)	Okaasan to Issho - Niko Niko Pun (Japan)	yes
pcengine	pcengine/Order of the Griffon (USA).pce	Dungeons & Dragons - Order of the Griffon (USA)	Dungeons & Dragons - Order of the Griffon (USA)	yes
pcengine	pcengine/Taito Chase H.Q. (USA).pce	Chase H.Q. (USA)	Chase H.Q. (USA)	yes
pcengine	pcengine/Toshi Tensou Keikaku - Eternal City (Japan).pce	Eternal City - Toshi Tensou Keikaku (Japan)	Eternal City - Toshi Tensou Keikaku (Japan)	yes
pcengine	pcengine/Yuu Yuu Jinsei - Victory Life (Japan).pce	You-You Jinsei (Japan)	You-You Jinsei (Japan)	yes
sfc	sfc/AdditionalRoms	16 BIT XMAS 2011 - Christmas Craze (World)	Get Going! Ebisumaru! The Mechanical Maze - Mystery of the Missing Goemon [en tr]	
sfc	sfc/Aryol (Japan).7z	Ugoku E Ver. 2.0 - Aryol (Japan) (En,Ja)	Ugoku E Ver. 2.0 - Aryol (Japan) (En,Ja)	yes
sfc	sfc/Harukanaru Augusta (Japan).7z	New 3D Golf Simulation - Harukanaru Augusta (Japan)	Harukanaru Augusta (Japan)	
sfc	sfc/Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan).7z	Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan)	Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan)	yes
sfc	sfc/Kikou Keisatsu Metal Jack (Japan).zip	Armored Police - Metal Jack (Japan)	Armored Police - Metal Jack (Japan)	yes
sfc	sfc/Masters - Harukanaru Augusta 2 (Japan).zip	Harukanaru Augusta 2 - Masters (Japan)	Harukanaru Augusta 2 - Masters (Japan)	yes
sfc	sfc/Masters New - Harukanaru Augusta 3 (Japan).zip	Harukanaru Augusta 3 - Masters New (Japan)	Harukanaru Augusta 3 - Masters New (Japan)	yes
sfc	sfc/Super Professional Baseball (Japan).7z	Tecmo Super Baseball (Japan) (En)	Super Professional Baseball (Japan)	
snes	snes/Jammit (USA).smc	Street Sports - Jammit (USA)	Street Sports - Jammit (USA)	yes
snes	snes/R.P.M. Racing (USA).smc	Radical Psycho Machine Racing (USA)	Radical Psycho Machine Racing (USA)	yes
snes	snes/Spawn (USA).smc	Todd McFarlane's Spawn - The Video Game (USA)	Todd McFarlane's Spawn - The Video Game (USA)	yes
snes	snes/Street Hockey '95 (USA).smc	Street Sports - Street Hockey '95 (USA)	Street Sports - Street Hockey '95 (USA)	yes
snes	snes/Super Bomberman 5 Gold Cartridge (J) [!].zip	Super Bomberman 5 - Caravan Event Ban (Japan)	Super Bomberman 5 - Caravan Event Ban (Japan)	yes
wonderswan	wonderswan/012 Rockman &  Forte.ws	Rockman & Forte - Mirai Kara no Chousensha (Japan)	Rockman & Forte - Mirai Kara no Chousensha (Japan)	yes
