what	file	became
renamed	megadrive/Fantastic Dizzy (USA, Europe).zip	megadrive/Fantastic Dizzy (USA, Europe) (En,Fr,De,Es,It).zip
renamed	megadrive/Ballz 3D - Fighting at Its Ballziest (USA, Europe).zip	megadrive/Ballz 3D - The Battle of the Ballz (USA, Europe).zip
renamed	megadrive/Thunderbolt II (China) (Unl).zip	megadrive/Leidian Chuanshuo II (Thunderbolt II, Taiwan, En).zip
renamed	megadrive/Gaiares (Japan, USA).zip	megadrive/Gauntlet (Japan, En,Ja).zip
renamed	megadrive/Bulls Vs Lakers and the NBA Playoffs (USA, Europe).zip	megadrive/Bulls versus Blazers and the NBA Playoffs (USA, Europe).zip
renamed	megadrive/QuackShot Starring Donald Duck (World).zip	megadrive/QuackShot Starring Donald Duck (World) (En,Ja).zip
renamed	megadrive/Mamono Hunter Youko - Dai 7 no Keishou (Japan).zip	megadrive/Landstalker (Japan).zip
renamed	megadrive/Thunder Force III (Japan, USA).zip	megadrive/Thunder Force III (Japan, USA) (En).zip
renamed	megadrive/Columns III - Revenge of Columns (USA).zip	megadrive/Columns III - Taiketsu! Columns World (Japan, Korea) (Ja).zip
renamed	megadrive/NBA Live 98 (USA).zip	megadrive/NBA Live Nong-gu 95 (Korea).zip
renamed	megadrive/Power Drive (Europe).zip	megadrive/Power Drive (Europe) (En,Fr,De,Es,Pt).zip
renamed	megadrive/Dinosaurs for Hire (USA).zip	megadrive/Tom Mason's Dinosaurs for Hire (USA).zip
renamed	megadrive/Streets of Rage (World).zip	megadrive/Streets of Rage (World) (En,Ja) (Rev A).zip
renamed	megadrive/Mortal Kombat (World).zip	megadrive/Mortal Kombat (USA, Europe) (Rev A) (Beta).zip
renamed	megadrive/MegaMind (Japan).zip	megadrive/MegaTrax (Japan, En).zip
renamed	megadrive/Psy-O-Blade (Japan) (Translated En).zip	megadrive/Psy-O-Blade (Japan).zip
